data,Inv_CONNECTEDTV,Impr_CONNECTEDTV,Inv_DISPLAY,Impr_DISPLAY,Inv_OPENTV,Impr_OPENTV,Inv_PAIDTV,Impr_PAIDTV,Inv_PROGRAMATICA,Impr_PROGRAMATICA,Inv_SEARCH,Impr_SEARCH,Inv_SOCIAL,Impr_SOCIAL,Inv_YOUTUBE,Impr_YOUTUBE,ipca,desemprego,indice_confianca_consumidor,leads
2023-05-13,14222.84,450722,101238.61,13457674,174620.42,0,0.00,0,112523.29,66158435,75565.56,218029,82652.00,10309211,9737.83,2264159,0.0047,0.080,122.22,314
2023-05-14,12066.05,399532,97354.94,17745371,866836.54,0,0.00,0,99290.46,58472196,79031.89,242353,90875.46,12690474,9739.19,2328444,0.0047,0.080,122.22,410
2023-05-15,11488.43,298122,101452.68,17321717,89130.23,0,0.00,0,71448.43,40081148,90685.57,259016,82638.77,11397031,9722.93,2267339,0.0047,0.080,122.22,433
2023-05-16,9993.26,408764,507914.70,156698027,0.00,0,23285.12,0,69420.28,37798929,106119.42,263509,85630.34,11625110,597829.56,114573334,0.0047,0.080,122.22,455
2023-05-17,10965.55,369129,91118.65,16942692,0.00,0,23285.12,0,69069.36,38247412,107960.31,259432,84042.00,11262630,10868.81,2249313,0.0047,0.080,122.22,456
2023-05-18,40809.98,657408,93664.99,16984416,121081.62,0,23285.12,0,67338.18,41289981,108900.17,255460,83045.40,10702913,10874.78,2230188,0.0047,0.080,122.22,474
2023-05-19,31947.68,546611,92248.27,19693651,0.00,0,23285.12,0,65899.61,39318751,95126.47,221724,82453.48,11209582,10886.27,2360151,0.0047,0.080,122.22,460
2023-05-20,13218.87,371007,86751.99,15856149,0.00,0,0.00,0,71829.15,39691343,87542.29,223804,89744.46,11186248,10882.64,2465287,0.0047,0.080,122.22,360
2023-05-21,12889.62,368828,98799.83,20497604,287697.34,0,0.00,0,78052.09,42468030,90045.59,255505,87755.58,12080328,10888.13,2523893,0.0047,0.080,122.22,383
2023-05-22,12764.68,366463,90620.39,17431927,0.00,0,23285.12,0,75944.82,34815438,96583.53,280343,85994.86,12263987,10869.30,2429448,0.0047,0.080,122.22,473
2023-05-23,10861.75,342424,94355.24,16862708,0.00,0,23285.12,0,69481.27,34302841,92530.41,273346,94473.83,12891435,10880.35,2404410,0.0047,0.080,122.22,515
2023-05-24,10229.42,346851,98347.97,16570533,0.00,0,23285.12,0,64246.86,29432219,98646.70,320347,88158.60,11874038,10875.27,2469002,0.0047,0.080,122.22,444
2023-05-25,11654.32,338319,95564.64,16515326,0.00,0,23285.12,0,61816.91,29812991,102903.09,330151,94633.59,11855470,10893.82,2241177,0.0047,0.080,122.22,462
2023-05-26,13633.13,360193,51840.32,8002187,0.00,0,16934.72,0,58092.28,26161172,105950.23,332982,90441.58,10882524,10910.94,2126581,0.0047,0.080,122.22,474
2023-05-27,14431.34,389572,116702.42,15423904,0.00,0,0.00,0,56880.26,24312607,101420.23,320974,91695.47,11373363,10892.38,2147879,0.0047,0.080,122.22,443
2023-05-28,16451.48,394369,93523.22,15662679,287697.34,0,0.00,0,52760.05,24040313,99450.63,341313,99612.68,13414263,10914.76,2102551,0.0047,0.080,122.22,399
2023-05-29,10584.11,318294,89327.47,19014520,0.00,0,16934.72,0,50757.12,23514695,98820.28,264798,101651.56,13229360,10936.46,2138985,0.0047,0.080,122.22,434
2023-05-30,12365.06,466672,70450.52,13411028,0.00,0,15170.56,0,44861.00,21051919,85897.87,264569,105403.33,12706455,10961.68,1905150,0.0047,0.080,122.22,426
2023-05-31,7606.61,146785,62228.86,9808938,0.00,0,15170.56,0,37214.37,18960726,79672.11,474093,101379.12,11790915,11002.92,1946693,0.0047,0.080,122.22,387
2023-06-01,3516.63,260847,52908.35,12762270,0.00,0,0.00,0,33300.00,20481340,61873.65,212257,10371.88,1409515,4048.37,877224,0.0067,0.080,125.27,237
